n,ecg_data_interp,ecg_signal_quant
308,1.54792207791991,8051
309,1.54557478144864,8038
310,1.5452994873185,8037
311,1.54706228432639,8046
312,1.55045454545239,8064
313,1.55406456473718,8083
314,1.55818920837327,8104
315,1.5623022311911,8125
316,1.56584415584205,8144
317,1.56745504369523,8152
318,1.56809478378117,8156
319,1.56791327121793,8155
320,1.56701298701091,8150
321,1.56503928917586,8140
322,1.56245619804971,8126
323,1.55925009550677,8110
324,1.55532467532259,8089
325,1.54963740289022,8060
326,1.54363806592846,8028
327,1.53781273409331,7998
328,1.53253246753036,7971
329,1.52757460516482,7945
330,1.52362179961444,7924
331,1.52071687750183,7909
332,1.51870129869919,7899
333,1.51644383830358,7887
334,1.51491553215257,7879
335,1.51414647450392,7875
336,1.51402597402389,7874
337,1.51390985561046,7874
338,1.51407928557363,7875
339,1.51433084404395,7876
340,1.51441558441352,7876
341,1.51315085040175,7870
342,1.51188081139215,7863
343,1.51094659154685,7858
344,1.51051948051744,7856
345,1.51022287557525,7855
346,1.51022990454266,7855
347,1.51017532699142,7854
348,1.50954545454343,7851
349,1.50680148824527,7837
350,1.50311220188637,7818
351,1.49869678609247,7795
352,1.4937662337642,7769
353,1.48821957307513,7740
354,1.48259286444741,7711
355,1.47710390799371,7682
356,1.47194805194597,7656
357,1.46628613111191,7626
358,1.46207466723372,7604
359,1.46009535837625,7594
360,1.46084415584206,7598
361,1.46422666718885,7615
362,1.47020393132438,7646
363,1.4781469677318,7688
364,1.4871428571408,7735
365,1.49513809358602,7776
366,1.50281029984785,7816
367,1.50985345489391,7853
368,1.51597402597202,7885
369,1.52056498797003,7908
370,1.52380610049656,7925
371,1.52556274676932,7934
372,1.52571428571229,7935
373,1.52327531705931,7922
374,1.51976354172627,7904
375,1.51575357201888,7883
376,1.51168831168629,7862
377,1.50744604744219,7840
378,1.50362149982113,7820
379,1.50022216328383,7803
380,1.49707792207587,7786
381,1.49310483782757,7766
382,1.48939175893287,7746
383,1.48617700599052,7730
384,1.48363636363429,7716
385,1.48119389703776,7704
386,1.47987890025531,7697
387,1.47987150623167,7697
388,1.48110389610182,7703
389,1.48291353403833,7713
390,1.48538964743231,7725
391,1.48815864120948,7740
392,1.49084415584208,7754
393,1.49211622204287,7760
394,1.49358821411067,7768
395,1.495859828964,7780
396,1.49941558441349,7798
397,1.50413094314704,7823
398,1.51047824509704,7856
