k,ecg_signal,ecg_signal_scaled,ecg_data_offset
58,0.0257500000000001,0.100324675324676,1.52922077922078
59,0.0286500000000001,0.111623376623377,1.54051948051948
60,0.0326000000000001,0.127012987012987,1.55590909090909
61,0.034,0.132467532467532,1.56136363636364
62,0.03305,0.128766233766234,1.55766233766234
63,0.0321,0.125064935064935,1.55396103896104
64,0.03285,0.127987012987013,1.55688311688312
65,0.03385,0.131883116883117,1.56077922077922
66,0.0353,0.137532467532468,1.56642857142857
67,0.0378000000000001,0.147272727272728,1.57616883116883
68,0.0356500000000001,0.138896103896104,1.56779220779221
69,0.0329,0.128181818181818,1.55707792207792
70,0.0276000000000001,0.107532467532468,1.53642857142857
71,0.0297500000000001,0.115909090909091,1.54480519480519
72,0.0387500000000001,0.150974025974026,1.57987012987013
73,0.044,0.171428571428571,1.60032467532468
74,0.044,0.171428571428571,1.60032467532468
75,0.0391,0.152337662337662,1.58123376623377
76,0.0356500000000001,0.138896103896104,1.56779220779221
77,0.0305500000000001,0.119025974025974,1.54792207792208
78,0.0312,0.121558441558442,1.55045454545455
79,0.03515,0.136948051948052,1.56584415584416
80,0.0354500000000001,0.138116883116883,1.56701298701299
81,0.0324500000000001,0.126428571428572,1.55532467532468
82,0.0266000000000001,0.103636363636364,1.53253246753247
83,0.02305,0.0898051948051948,1.5187012987013
84,0.02185,0.0851298701298701,1.51402597402597
85,0.02195,0.0855194805194805,1.51441558441558
86,0.02095,0.0816233766233766,1.51051948051948
87,0.0207000000000001,0.080649350649351,1.50954545454545
88,0.0166500000000001,0.0648701298701303,1.49376623376623
89,0.01105,0.0430519480519481,1.47194805194805
90,0.0082000000000001,0.0319480519480523,1.46084415584416
91,0.01495,0.0582467532467532,1.48714285714286
92,0.0223500000000001,0.0870779220779225,1.51597402597403
93,0.02485,0.0968181818181818,1.52571428571429
94,0.02125,0.0827922077922078,1.51168831168831
95,0.0175000000000001,0.0681818181818186,1.49707792207792
96,0.01405,0.0547402597402597,1.48363636363636
97,0.0134000000000001,0.0522077922077926,1.4811038961039
98,0.0159,0.061948051948052,1.49084415584416
99,0.0181,0.0705194805194805,1.49941558441558
100,0.0251,0.0977922077922078,1.52668831168831
101,0.0317000000000001,0.123506493506494,1.5524025974026
102,0.0325500000000001,0.126818181818182,1.55571428571429
103,0.0338000000000001,0.131688311688312,1.56058441558442
104,0.0366000000000001,0.142597402597403,1.57149350649351
105,0.0397500000000001,0.15487012987013,1.58376623376623
106,0.0411,0.16012987012987,1.58902597402597
107,0.0384,0.14961038961039,1.57850649350649
108,0.0316500000000001,0.123311688311689,1.55220779220779
109,0.0267500000000001,0.10422077922078,1.53311688311688
110,0.0264000000000001,0.102857142857143,1.53175324675325
111,0.0343,0.133636363636364,1.56253246753247
112,0.0449000000000001,0.174935064935065,1.60383116883117
113,0.0495000000000001,0.192857142857143,1.62175324675325
114,0.04835,0.188376623376623,1.61727272727273
115,0.0398000000000001,0.155064935064935,1.58396103896104
116,0.03295,0.128376623376623,1.55727272727273
117,0.0285500000000001,0.111233766233767,1.54012987012987
118,0.0286500000000001,0.111623376623377,1.54051948051948
119,0.0306000000000001,0.11922077922078,1.54811688311688
120,0.03415,0.133051948051948,1.56194805194805
121,0.0356500000000001,0.138896103896104,1.56779220779221
122,0.0314500000000001,0.122532467532468,1.55142857142857
123,0.0275000000000001,0.107142857142858,1.53603896103896
124,0.0253,0.0985714285714286,1.52746753246753
125,0.0259,0.100909090909091,1.52980519480519
126,0.0259,0.100909090909091,1.52980519480519
127,0.0275500000000001,0.107337662337663,1.53623376623377
128,0.0262,0.102077922077922,1.53097402597403
