t_recon,spikes,analog_signal,recon,squared_error
0.85333044,-0.25,1.33839920023161,1.340625,4.95418460898718e-06
0.85444984,-0.25,1.2360551700809,1.2375,2.08753349512811e-06
0.85559788,-0.25,1.13322318381723,1.134375,1.32668051890145e-06
0.85678108,-0.25,1.03005993915741,1.03125,1.41624480906573e-06
0.85800608,-0.25,0.926867394639285,0.928125,1.58157124330038e-06
0.85927242,-0.25,0.824700500309993,0.825,8.97000643143417e-08
0.8606162,-0.25,0.722010544472323,0.721875,1.83723039772607e-08
0.862051,-0.25,0.619680731567509,0.61875,8.66261250757144e-07
0.8636174,-0.25,0.517546862805622,0.515625,3.6935566436333e-06
0.8654108,-0.25,0.414123978554497,0.4125,2.63730634546518e-06
0.86754014,-0.25,0.311776972072391,0.309375,5.76946983654531e-06
0.87049872,-0.25,0.20959313283715,0.20625,1.11765371668263e-05
0.88235648,0.25,0.307403761605537,0.309375,3.88578080780552e-06
0.88451176,0.25,0.410002464504033,0.4125,6.23768355361893e-06
0.88631914,0.25,0.513633793857272,0.515625,3.96490190283846e-06
0.88792168,0.25,0.617810923830798,0.61875,8.81864051564088e-07
0.88936556,0.25,0.720660543708008,0.721875,1.47490408516089e-06
0.89070436,0.25,0.822873964878633,0.825,4.52002533728929e-06
0.89197162,0.25,0.925026735926925,0.928125,9.59924026651078e-06
0.89317994,0.25,1.02671646681446,1.03125,2.05529231444333e-05
0.894367,0.25,1.13011710039942,1.134375,1.81297090086097e-05
0.89551848,0.25,1.23318616519373,1.2375,1.86091707358125e-05
0.89664104,0.25,1.33577039179168,1.340625,2.35672208562778e-05
0.89774696,0.25,1.43836450105511,1.44375,2.90035988854381e-05
0.8988332,0.25,1.54013017168907,1.546875,4.54927089439279e-05
0.8999269,0.25,1.64311051153386,1.65,4.74650513251145e-05
0.90101864,0.25,1.74593902630755,1.753125,5.16382179085356e-05
0.90212456,0.25,1.84964090777528,1.85625,4.36801000348977e-05
0.90323562,0.25,1.95285369495823,1.959375,4.25274194477867e-05
0.90437226,0.25,2.05691212536788,2.0625,3.12243429043233e-05
0.90552654,0.25,2.16045963182457,2.165625,2.66810283877864e-05
0.90669994,0.25,2.26296845095083,2.26875,3.34263094079271e-05
0.90793382,0.25,2.36715847603262,2.371875,2.22455983348939e-05
0.9092204,0.25,2.47120112361917,2.475,1.44314617568575e-05
0.91057226,0.25,2.57473231418859,2.578125,1.15103170149529e-05
0.91200302,0.25,2.67702812550309,2.68125,1.78242242676687e-05
0.91359648,0.25,2.78115921967649,2.784375,1.03412430890784e-05
0.91540824,0.25,2.88573927289515,2.8875,3.10015993773502e-06
0.91753316,0.25,2.98792572107134,2.990625,7.28610673471003e-06
0.9205631,0.25,3.09208837305211,3.09375,2.76100411393787e-06
0.9325429,-0.25,2.98466934531125,2.990625,3.54698227716038e-05
0.93466884,-0.25,2.88160690190609,2.8875,3.47286051443963e-05
0.9364388,-0.25,2.77897269957746,2.784375,2.9184849855384e-05
0.93801534,-0.25,2.67576626773642,2.68125,3.00713195386661e-05
0.93945372,-0.25,2.57280317678533,2.578125,2.83218023282018e-05
0.94080436,-0.25,2.46924733206235,2.475,3.30931884008338e-05
0.94205926,-0.25,2.3677312322948,2.371875,1.71708107946794e-05
0.94329582,-0.25,2.26333315102978,2.26875,2.93422527661132e-05
0.94446116,-0.25,2.16154953679787,2.165625,1.66094003119142e-05
0.94561434,-0.25,2.05812754420367,2.0625,1.91183696908215e-05
0.94674454,-0.25,1.95468482620815,1.959375,2.19977301977888e-05
0.94784066,-0.25,1.85288920386001,1.85625,1.12949506945938e-05
0.9489375,-0.25,1.75006390064993,1.753125,9.37032923101621e-06
0.9500307,-0.25,1.64710659496034,1.65,8.37179272352257e-06
0.95112168,-0.25,1.54437164465271,1.546875,6.26678799479412e-06
0.95221512,-0.25,1.44190322374841,1.44375,3.41058252343894e-06
0.95333274,-0.25,1.3381871623455,1.340625,5.94305242969052e-06
0.95445152,-0.25,1.23590298460057,1.2375,2.55045818600245e-06
0.95559832,-0.25,1.13318425373536,1.134375,1.41787666674485e-06
0.95677976,-0.25,1.03017322610886,1.03125,1.15944201264968e-06
0.95800922,-0.25,0.926608130726722,0.928125,2.30089239221657e-06
0.95927442,-0.25,0.824543106790042,0.825,2.08751405306545e-07
0.96061712,-0.25,0.721942423125358,0.721875,4.54587783292252e-09
0.96204988,-0.25,0.619757450290622,0.61875,1.01495608807366e-06
0.96361806,-0.25,0.517506073142278,0.515625,3.53843616660017e-06
0.96541228,-0.25,0.414044935384992,0.4125,2.38682534379937e-06
0.96754324,-0.25,0.311645012885041,0.309375,5.15295849825078e-06
0.97050746,-0.25,0.209363474306463,0.20625,9.6937222570018e-06
0.98235496,0.25,0.307339884243859,0.309375,4.14169614089522e-06
0.98450838,0.25,0.409823241963742,0.4125,7.16503358467237e-06
0.98631784,0.25,0.513553821919243,0.515625,4.28977864220764e-06
0.98791528,0.25,0.617373341017425,0.61875,1.89518995430442e-06
0.98936426,0.25,0.72056437312583,0.721875,1.71774280329821e-06
0.99070056,0.25,0.822575216192173,0.825,5.87957651470249e-06
0.99197484,0.25,0.925292429305588,0.928125,8.02345673884298e-06
0.99317866,0.25,1.02660673932642,1.03125,2.15598696827775e-05
0.9943665,0.25,1.13007289763493,1.134375,1.85080847595562e-05
0.99551848,0.25,1.23318616519373,1.2375,1.86091707358144e-05
0.99664266,0.25,1.33591968705999,1.340625,2.21399698634452e-05
0.9977508,0.25,1.43872279838579,1.44375,2.52727560698922e-05
0.99883114,0.25,1.53993654369846,1.546875,4.81421758483678e-05
0.99992628,0.25,1.64305207853209,1.65,4.82736127242541e-05
1.00101738,0.25,1.7458205169493,1.753125,5.3355472637968e-05
1.0021233,0.25,1.84952321143507,1.85625,4.52496843972734e-05
1.00323916,0.25,1.95318045355836,1.959375,3.83724056175821e-05
1.00437608,0.25,2.05725863987061,2.0625,2.74718560059141e-05
1.00552808,0.25,2.16059610818144,2.165625,2.5289752922741e-05
1.00670058,0.25,2.26302350280771,2.26875,3.27927700932965e-05
1.00793122,0.25,2.36694324354796,2.371875,2.4322221702222e-05
1.00922298,0.25,2.47140459507206,2.475,1.2926936595867e-05
1.01057274,0.25,2.57476793328251,2.578125,1.12698969456674e-05
