t_recon,spikes,recon,th
1.111839125,-0.25,1.62421875,0.512890625
1.112652,-0.25,1.611328125,0.512890625
1.11354375,-0.25,1.5984375,0.512890625
1.118097125,-0.25,1.57265625,0.52578125
1.118979125,-0.25,1.559765625,0.512890625
1.120064625,-0.25,1.546875,0.512890625
1.12190425,0.25,1.57265625,0.52578125
1.13149975,0.25,1.62421875,0.5515625
1.134321,0.25,1.65,0.52578125
1.138429625,-0.25,1.62421875,0.52578125
1.140903,0.25,1.637109375,0.512890625
1.14134475,0.25,1.65,0.512890625
1.14178725,0.25,1.662890625,0.512890625
1.1431275,0.25,1.688671875,0.52578125
1.14593775,-0.25,1.637109375,0.5515625
1.15292775,-0.25,1.611328125,0.52578125
1.157494375,-0.25,1.5984375,0.512890625
1.158226,-0.25,1.585546875,0.512890625
1.1587895,-0.25,1.57265625,0.512890625
1.161707375,0.25,1.5984375,0.52578125
1.162648625,0.25,1.62421875,0.52578125
1.16517975,-0.25,1.5984375,0.52578125
1.166121,-0.25,1.57265625,0.52578125
1.167537,-0.25,1.546875,0.52578125
1.192076625,0.25,1.5984375,0.5515625
1.197623875,-0.25,1.57265625,0.52578125
1.198307625,-0.25,1.559765625,0.512890625
1.2008995,0.25,1.57265625,0.512890625
1.201711125,0.25,1.585546875,0.512890625
1.20471625,-0.25,1.57265625,0.512890625
1.20543875,-0.25,1.559765625,0.512890625
1.206147,-0.25,1.546875,0.512890625
1.212197125,0.25,1.57265625,0.52578125
1.21284275,0.25,1.585546875,0.512890625
1.213482,0.25,1.5984375,0.512890625
1.21718775,-0.25,1.57265625,0.52578125
1.218012875,-0.25,1.559765625,0.512890625
1.219376625,0.25,1.57265625,0.512890625
1.21993925,0.25,1.585546875,0.512890625
1.22048975,0.25,1.5984375,0.512890625
1.23273325,-0.25,1.57265625,0.52578125
1.23372525,-0.25,1.559765625,0.512890625
1.23463725,-0.25,1.546875,0.512890625
1.24027275,0.25,1.57265625,0.52578125
1.24144375,-0.25,1.559765625,0.512890625
1.24239525,-0.25,1.546875,0.512890625
1.246848,0.25,1.559765625,0.512890625
1.2525505,0.25,1.57265625,0.512890625
1.254913625,-0.25,1.559765625,0.512890625
1.255405625,-0.25,1.546875,0.512890625
1.25583275,-0.25,1.533984375,0.512890625
1.25685925,-0.25,1.508203125,0.52578125
1.26004425,0.25,1.559765625,0.5515625
1.261694625,0.25,1.585546875,0.52578125
1.2643345,-0.25,1.559765625,0.52578125
1.265318625,-0.25,1.546875,0.512890625
